Var1;Var2;Var3
"L-Lysine";4.00474665963392e-05;0.0400474665963392
"L-Valine";6.8330981163596e-05;0.068330981163596
"L-Leucine";0.00019753275893948;0.19753275893948
"L-Isoleucine";0.000135389570901808;0.135389570901808
"L-Threonine";2.66309847604759e-05;0.0266309847604759
"Glycine";-3.35345942381159e-06;-0.00335345942381159
"L-Alanine";5.28985612671421e-05;0.0528985612671421
"L-Glutamine";3.04524638019641e-05;0.0304524638019641
"L-Proline";8.43723089900348e-05;0.0843723089900348
"L-Asparagine";3.37306542392219e-05;0.0337306542392219
"L-Methionine";1.09669146122664e-05;0.0109669146122664
"L-Tyrosine";3.84690320603658e-05;0.0384690320603658
"L-Histidine";9.80558951490301e-05;0.0980558951490301
"Phosphate ";3.08923913547659e-05;0.0308923913547659
"Dihydroxyacetone phosphate";0.000172496456428296;0.172496456428296
"D-Ribose";1.99867331855193e-05;0.0199867331855193
"D-Glucose";3.69172419044353e-05;0.0369172419044353
"myo-Inositol";0.000131788339143966;0.131788339143966
"Hypoxanthine ";4.97252914637095e-05;0.0497252914637095
"Adenine ";-1.37283423408867e-06;-0.00137283423408867
"D-Erythrose 4-phosphate";3.26535200062422e-05;0.0326535200062422
"Urea";5.526386116637e-06;0.005526386116637
"Uridine 5'-monophosphate";9.44218275989715e-05;0.0944218275989715
